-3311,-5261,569
-3298,-532,-790
-3258,-5395,496
-3252,-504,-852
-3243,-591,-942
-3241,-4332,404
-3216,-5353,524
-3209,-4363,524
-3197,-1610,-610
-3172,-1550,-735
-3168,-1657,-583
-3142,-5166,1948
-3112,-5233,1905
-3111,-2895,-690
-3096,-4387,393
-3086,-1852,-2801
-3078,-805,-1909
-3069,-649,-2850
-3065,-755,-1948
-3056,-1966,-2835
-3054,-2976,-634
-3051,-2921,-512
-3041,-1712,-2815
-3040,-866,-2011
-3018,-699,-2899
-3004,-682,-2798
-2970,-2730,1774
-2960,-1927,-1720
-2959,-2767,1683
-2959,-1851,357
-2950,-1851,346
-2921,-2045,-1583
-2920,-2853,616
-2915,-5191,1922
-2898,-1897,546
-2897,-2035,-1775
-2880,-2791,625
-2857,-4146,1839
-2852,-2730,1747
-2843,-2862,793
-2794,-4348,1817
-2785,-4295,1855
-2568,-1281,-1366
-2548,-4829,1049
-2532,-3708,1125
-2512,-2407,-75
-2450,-1128,-2543
-2438,-3524,1050
-2398,-4796,1191
-2392,-1272,-1206
-2170,-2850,1587
-2152,-2854,1427
-2142,-1590,-3187
-2140,-1620,584
-2099,-1662,397
-2099,-1576,-3104
-2089,1915,-555
-2087,1861,-535
-2085,-1666,495
-2084,-2843,1534
-2083,651,244
-2058,-357,1794
-2050,783,346
-2013,-5271,1547
-2011,-5265,1836
-2010,1847,-451
-2000,-3092,-2058
-1997,-376,1659
-1996,-1604,-3070
-1996,-502,1742
-1982,-4146,1527
-1959,1810,347
-1951,-5273,1612
-1950,-790,-3255
-1947,736,296
-1944,1817,340
-1938,-3169,-2074
-1930,-4139,1639
-1928,-630,-1824
-1924,-683,-1859
-1920,-1987,2014
-1910,504,-423
-1898,634,-571
-1889,-2061,1956
-1884,-1876,-747
-1883,1717,412
-1878,-4128,1443
-1878,-1866,2017
-1858,559,-539
-1847,-1715,-1800
-1845,-680,-1905
-1842,-3172,-2119
-1826,-1833,-1775
-1823,-749,-3244
-1821,-3241,810
-1810,-4445,-871
-1803,-775,-3260
-1801,-4314,-827
-1801,-675,-496
-1800,-1696,-760
-1796,-763,-598
-1787,-3289,704
-1766,-5231,570
-1756,-4470,-806
-1750,-5322,653
-1749,-1877,-806
-1734,-5182,733
-1727,-3162,693
-1721,-749,-424
-1683,-4321,372
-1675,-1779,-1757
-1674,-2931,-536
-1673,-4383,574
-1651,-660,404
-1650,-3128,-540
-1632,-4279,548
-1617,-670,288
-1589,-2938,-560
-1585,-596,412
-1375,-2343,-168
-1373,-4911,1041
-1368,-2352,-1204
-1356,-1301,-86
-1354,-2417,1055
-1346,-3692,-115
-1301,-3,15
-1281,-1160,1132
-1279,-2505,-74
-1276,-3639,1161
-1268,1277,-18
-1265,-93,-170
-1259,-4827,1155
-1246,-2494,1215
-1246,-1200,-1188
-1244,-2470,-1299
-1212,-1170,-125
-1197,1172,-152
-1192,-3518,-109
-1190,-2346,1
-970,-4239,1542
-960,-2801,387
-959,-4188,1748
-955,-2963,1606
-951,701,-557
-942,-1858,-3181
-932,-3136,1597
-924,-4160,1514
-923,-2834,405
-910,1742,415
-907,638,-667
-902,-2956,-1854
-895,-3081,1638
-893,-1821,-3216
-890,-5484,1895
-888,-3007,-1821
-884,-676,-820
-881,730,-610
-868,690,1725
-862,-696,357
-859,-847,296
-846,-5369,1961
-844,-5293,1883
-843,-1827,-3163
-837,-2904,-781
-835,-868,319
-828,631,1832
-809,509,1684
-793,-3177,-3159
-787,-613,-713
-780,-2859,345
-778,-2955,-1885
-770,1598,406
-769,-3222,-2955
-763,-4006,2723
-758,-2952,-872
-756,-4179,2726
-755,-5252,-836
-734,-416,-1775
-730,1780,350
-726,-3239,-3121
-720,-5172,-935
-719,-692,1787
-719,-647,-908
-715,-2931,-714
-711,-1906,-1886
-706,-4369,-2046
-703,-4397,-1908
-700,-2079,-1928
-698,-349,-1831
-686,-4030,-2888
-686,-641,1813
-684,-5201,-837
-682,-4176,2713
-659,-663,1635
-659,-364,-1638
-645,-5433,548
-645,-5326,625
-633,-4135,-558
-621,-4149,709
-618,-3918,-2797
-618,-3239,2805
-616,-3160,2709
-613,-4138,-2807
-608,-1901,-905
-605,-4250,574
-591,-1986,-1904
-586,-5574,3006
-579,-5440,666
-575,-5390,-1720
-574,-1832,619
-572,-3165,2740
-565,-1840,482
-562,-1945,467
-558,-4136,-567
-556,-5539,-1654
-540,-4243,744
-538,-5569,3183
-528,-4375,-1974
-516,-1630,1890
-510,326,423
-508,-1638,1908
-502,-1585,1832
-500,-1978,-969
-462,334,246
-451,-5556,3092
-445,-5489,-1688
-445,-4078,-554
-419,2025,-770
-414,1849,-823
-405,-1961,-931
-383,1976,-774
-379,320,417
-172,-3643,-148
-165,52,-144
-157,-3538,1116
-153,-2408,-52
-150,-4883,2394
-150,-2462,1221
-141,-3565,-2532
-139,10,1036
-125,-4874,1023
-116,-4767,-1365
-98,-2436,-2568
-96,-4899,-119
-96,-3712,1025
-79,-53,1215
-73,-3684,2402
-64,-4761,1150
-59,-1198,-1226
-58,-3666,-2406
-58,-3613,-1267
-58,-1170,-131
-46,-2351,1059
-31,-2363,-2379
-25,-4888,-1258
-20,-3525,2234
-19,-2468,-173
-17,-4845,2239
-6,-1313,-14
1,-3599,-30
6,-3651,1173
11,10,-5
12,-4724,2391
227,-4171,-3096
238,-1829,-2814
246,-4171,-3234
250,-5389,-627
261,-3053,1990
271,-4269,-1766
274,-5541,-577
286,-1956,-2799
296,-1847,-734
300,-1885,1434
308,-5464,-718
310,-4277,-1674
310,-1791,-918
313,-5585,2698
316,-687,-1957
323,-1896,-2940
330,-1822,-965
334,-4244,-3162
341,-2968,1979
344,-2956,1918
347,-4303,-435
354,-1716,1449
356,-718,-1895
370,-4307,-561
377,-4376,-1689
379,-2837,2833
383,-2840,2630
383,708,-456
397,-5634,2689
398,-4196,3175
398,-745,-1965
401,-1820,1439
411,-4483,397
437,-4437,426
443,-5579,2789
444,-2875,2759
451,-5299,298
458,-4432,-478
458,-554,-972
469,592,-457
473,669,-617
477,476,1695
479,-5201,344
484,-4131,3148
484,-3183,-3196
489,-3158,-3019
490,-4181,3039
492,-4008,1501
500,-3136,560
505,-2894,-631
508,-3990,1522
535,-2941,-667
542,-3096,-3082
556,-3140,596
562,494,1540
570,-5312,-1713
571,-4428,379
571,-3098,585
574,-633,645
579,-5352,389
604,-563,-949
618,-5352,-1668
626,-3940,1436
630,-3137,-1830
633,-3039,-1930
634,-2824,-610
635,-5373,1792
644,466,1576
654,-533,-962
660,426,716
672,-1614,-1961
679,383,790
688,-5354,-1760
692,-2092,393
703,-1926,301
707,-5356,1936
708,-533,665
719,-3188,-1887
732,-1899,454
736,-1547,-2031
741,-680,1630
743,441,816
760,-612,639
771,-5385,1859
783,-1533,-1967
811,-553,1549
812,-704,1535
1030,-2435,-57
1045,-4792,-75
1045,-2466,-2417
1051,-3689,1062
1053,-2490,-1202
1109,-2410,-1371
1137,-2367,-2577
1155,-3537,1132
1171,-2326,-108
1196,-4907,-39
1221,-3618,-82
1525,-4203,1609
1526,-5646,780
1533,-3995,1637
1544,-4007,1578
1553,-5620,786
1573,-3055,-1720
1591,-3040,-1747
1599,-5518,-697
1627,-3093,-1676
1640,-5508,796
1648,-2739,1697
1649,-3989,-573
1661,-3940,-692
1666,-4305,428
1670,-4052,-583
1671,-3075,-526
1672,-2793,-2924
1677,-4392,426
1702,-1697,-3283
1729,-2763,1755
1731,-3220,-534
1748,-5553,-669
1757,-4281,478
1762,-2789,1587
1775,-3189,-468
1781,-1708,-3185
1798,-1897,-1854
1805,-2788,-2890
1836,-2751,370
1838,-1799,-962
1839,-1683,-3377
1841,-2774,-2963
1863,-5540,-692
1900,-1602,465
1904,-1979,-1937
1907,-1563,326
1908,-1841,-805
1918,-1775,-1859
1930,-1902,-898
1960,-2798,325
1970,-2798,345
1981,-1596,420
